Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2023-01-01 00:00:00.0;29.80764;59;967.1437;15.4044
2023-01-03 00:00:00.0;25.69097;39;974.9562;27.38832
2023-01-10 00:00:00.0;30.17917;43;984.9236;19.16209
2023-01-11 00:00:00.0;29.66944;56;985.2405;22.01232
2023-01-12 00:00:00.0;25.65;79;980.1293;13.10226
2023-01-13 00:00:00.0;23.08541;82;980.748;11.19288
2023-01-14 00:00:00.0;24.48264;56;989.5103;22.0533
2023-01-15 00:00:00.0;27.09237;47;989.9138;24.6015
2023-01-18 00:00:00.0;31.39028;53;991.7375;23.3742
2023-01-19 00:00:00.0;31.05278;59;989.977;24.91446
2023-01-20 00:00:00.0;30.84791;57;983.7874;25.58148
2023-01-21 00:00:00.0;25.3743;87;980.9818;4.32672
2023-01-22 00:00:00.0;27.44861;63;987.8074;22.9206
2023-01-23 00:00:00.0;30.25278;46;984.5187;25.4544
2023-01-24 00:00:00.0;31.42361;41;985.2123;25.31388
2023-01-25 00:00:00.0;30.46111;55;986.1486;25.68908
2023-01-26 00:00:00.0;26.96111;77;982.7866;16.5813
2023-01-27 00:00:00.0;29.44584;69;985.018;27.98545
2023-01-28 00:00:00.0;28.68819;66;992.5037;19.40053
2023-01-29 00:00:00.0;29.57917;59;989.4214;23.66886
2023-01-30 00:00:00.0;28.64305;55;982.2438;24.37698
2023-01-31 00:00:00.0;29.08264;47;987.1214;24.45199
2023-02-01 00:00:00.0;30.03334;43;988.802;24.70579
2023-02-02 00:00:00.0;28.10902;62;984.6267;17.17068
2023-02-03 00:00:00.0;25.52778;68;986.1909;15.9015
2023-02-04 00:00:00.0;25.48334;61;988.826;21.36582
2023-02-05 00:00:00.0;24.58612;46;988.0231;21.72576
2023-02-06 00:00:00.0;26.94861;42;985.7635;26.54941
2023-02-07 00:00:00.0;29.87015;44;989.238;26.89248
2023-02-08 00:00:00.0;30.12847;59;988.5386;20.4225
2023-02-09 00:00:00.0;25.99028;76;985.7807;21.78733
2023-02-10 00:00:00.0;29.36251;62;984.4505;30.53142
2023-02-11 00:00:00.0;30.30902;60;990.1228;29.10775
2023-02-12 00:00:00.0;30.93681;52;984.5293;26.44734
2023-02-13 00:00:00.0;31.93819;52;980.6621;21.57852
2023-02-14 00:00:00.0;29.42154;65;979.9343;26.14409
2023-02-15 00:00:00.0;28.34028;60;979.5229;27.57901
2023-02-16 00:00:00.0;26.21111;80;976.4174;19.38312
2023-02-17 00:00:00.0;17.29791;54;988.8178;23.56188
2023-02-18 00:00:00.0;16.68889;49;1006.656;23.3904
2023-02-19 00:00:00.0;20.86666;38;1005.027;21.25518
2023-02-20 00:00:00.0;23.92222;48;1000.444;27.1464
2023-02-21 00:00:00.0;26.49722;61;998.6995;28.14599
2023-02-22 00:00:00.0;27.88611;49;999.0405;26.58696
2023-02-23 00:00:00.0;27.47708;60;996.6811;17.51418
2023-02-24 00:00:00.0;26.89861;73;994.2229;16.59355
2023-02-25 00:00:00.0;27.46735;55;992.7338;30.26203
2023-02-26 00:00:00.0;29.08194;49;995.8839;23.53818
2023-02-27 00:00:00.0;26.7993;63;997.2269;22.48194
2023-02-28 00:00:00.0;27.94792;55;992.9282;35.52695
2023-03-01 00:00:00.0;27.58471;66;986.5048;20.5887
2023-03-02 00:00:00.0;23.77709;92;983.9389;15.73398
2023-03-03 00:00:00.0;24.29027;94;983.8443;10.81872
2023-03-04 00:00:00.0;26.07638;79;986.33;18.39702
2023-03-05 00:00:00.0;27.68264;68;982.3072;35.4259
2023-03-06 00:00:00.0;26.58403;67;976.9104;27.90258
2023-03-07 00:00:00.0;26.12014;73;976.4249;24.22422
2023-03-08 00:00:00.0;28.45902;58;980.0455;34.53828
2023-03-09 00:00:00.0;29.30347;60;987.0798;33.78389
2023-03-10 00:00:00.0;29.6132;62;988.1147;33.82621
2023-03-11 00:00:00.0;30.30347;53;977.7747;34.31873
2023-03-12 00:00:00.0;30.4132;56;990.3645;33.55964
